section,n_gauss,param,value
best_model,2,baseline,3.77269812776
best_model,2,baseline_error,0.348128280836
best_model,2,rss,87.3472387806
best_model,2,aic,44.1708788119
best_model,2,bic,56.6602062493
best_model,2,sigma_x,1
best_model,2,chi2,287337839.908
best_model,2,dof,37
best_model,2,chi2_reduced,7765887.56508
best_model,2,gauss_1_amplitude,27.3803776372
best_model,2,gauss_1_amplitude_error,0.719299873467
best_model,2,gauss_1_mu,20.2681878063
best_model,2,gauss_1_mu_error,0.124664365672
best_model,2,gauss_1_sigma,4.37382106781
best_model,2,gauss_1_sigma_error,0.147391370408
best_model,2,gauss_2_amplitude,3.24768006614e-09
best_model,2,gauss_2_amplitude_error,1.57123224418
best_model,2,gauss_2_mu,8.12812297759e-14
best_model,2,gauss_2_mu_error,0
best_model,2,gauss_2_sigma,0.500000046159
best_model,2,gauss_2_sigma_error,0

section,n_gauss,param,value
candidate_model,2,baseline,3.77269812776
candidate_model,2,baseline_error,0.348128280836
candidate_model,2,rss,87.3472387806
candidate_model,2,aic,44.1708788119
candidate_model,2,bic,56.6602062493
candidate_model,2,sigma_x,1
candidate_model,2,chi2,287337839.908
candidate_model,2,dof,37
candidate_model,2,chi2_reduced,7765887.56508
