distance_m,tension_V,repetition,coups_par_seconde
0,800,1,261.5
0,800,2,254.35
0,800,3,263.45
0,850,1,285.35
0,850,2,280.75
0,850,3,281.25
0,900,1,323.95
0,900,2,324.5
0,900,3,348.6
0,920,1,377.05
0,920,2,367.55
0,920,3,376.2
0,940,1,431.2
0,940,2,454.6
0,940,3,425.4
0,960,1,547.4
0,960,2,535.05
0,960,3,541.25
0,980,1,790.5
0,980,2,758.7
0,980,3,777.5
0,1000,1,1013.85
0,1000,2,988.7
0,1000,3,1019.55
0.01,800,1,186.75
0.01,800,2,184.65
0.01,800,3,185.05
0.01,850,1,0
0.01,850,2,0
0.01,850,3,0
0.01,900,1,202.8
0.01,900,2,194.15
0.01,900,3,197.6
0.01,920,1,0
0.01,920,2,0
0.01,920,3,0
0.01,940,1,0
0.01,940,2,0
0.01,940,3,0
0.01,960,1,0
0.01,960,2,0
0.01,960,3,0
0.01,980,1,0
0.01,980,2,0
0.01,980,3,0
0.01,1000,1,866.15
0.01,1000,2,886.4
0.01,1000,3,883.2
0.02,800,1,106.45
0.02,800,2,113.5
0.02,800,3,114.8
0.02,850,1,0
0.02,850,2,0
0.02,850,3,0
0.02,900,1,115.35
0.02,900,2,119.75
0.02,900,3,111.75
0.02,920,1,0
0.02,920,2,0
0.02,920,3,0
0.02,940,1,0
0.02,940,2,0
0.02,940,3,0
0.02,960,1,0
0.02,960,2,0
0.02,960,3,0
0.02,980,1,0
0.02,980,2,0
0.02,980,3,0
0.02,1000,1,529.25
0.02,1000,2,494.15
0.02,1000,3,532.1
0.03,800,1,72.75
0.03,800,2,71.75
0.03,800,3,76.05
0.03,850,1,0
0.03,850,2,0
0.03,850,3,0
0.03,900,1,86.5
0.03,900,2,87.2
0.03,900,3,84.7
0.03,920,1,0
0.03,920,2,0
0.03,920,3,0
0.03,940,1,0
0.03,940,2,0
0.03,940,3,0
0.03,960,1,0
0.03,960,2,0
0.03,960,3,0
0.03,980,1,0
0.03,980,2,0
0.03,980,3,0
0.03,1000,1,360.35
0.03,1000,2,335.45
0.03,1000,3,351.25
0.05,800,1,36.8
0.05,800,2,34.1
0.05,800,3,39.15
0.05,850,1,0
0.05,850,2,0
0.05,850,3,0
0.05,900,1,49.6
0.05,900,2,46.2
0.05,900,3,47.9
0.05,920,1,0
0.05,920,2,0
0.05,920,3,0
0.05,940,1,0
0.05,940,2,0
0.05,940,3,0
0.05,960,1,0
0.05,960,2,0
0.05,960,3,0
0.05,980,1,0
0.05,980,2,0
0.05,980,3,0
0.05,1000,1,175.1
0.05,1000,2,183.4
0.05,1000,3,179.6
0.1,800,1,13.35
0.1,800,2,13.05
0.1,800,3,12.65
0.1,850,1,0
0.1,850,2,0
0.1,850,3,0
0.1,900,1,19.75
0.1,900,2,21.2
0.1,900,3,19.85
0.1,920,1,0
0.1,920,2,0
0.1,920,3,0
0.1,940,1,0
0.1,940,2,0
0.1,940,3,0
0.1,960,1,0
0.1,960,2,0
0.1,960,3,0
0.1,980,1,0
0.1,980,2,0
0.1,980,3,0
0.1,1000,1,63.3
0.1,1000,2,64.75
0.1,1000,3,56.95
0.15,800,1,5.7
0.15,800,2,4.35
0.15,800,3,7
0.15,850,1,0
0.15,850,2,0
0.15,850,3,0
0.15,900,1,8.9
0.15,900,2,9.6
0.15,900,3,8.6
0.15,920,1,0
0.15,920,2,0
0.15,920,3,0
0.15,940,1,0
0.15,940,2,0
0.15,940,3,0
0.15,960,1,0
0.15,960,2,0
0.15,960,3,0
0.15,980,1,0
0.15,980,2,0
0.15,980,3,0
0.15,1000,1,25.45
0.15,1000,2,29.15
0.15,1000,3,27.8
0.2,800,1,4.6
0.2,800,2,2.9
0.2,800,3,3.5
0.2,850,1,0
0.2,850,2,0
0.2,850,3,0
0.2,900,1,5.8
0.2,900,2,5.25
0.2,900,3,6.6
0.2,920,1,0
0.2,920,2,0
0.2,920,3,0
0.2,940,1,0
0.2,940,2,0
0.2,940,3,0
0.2,960,1,0
0.2,960,2,0
0.2,960,3,0
0.2,980,1,0
0.2,980,2,0
0.2,980,3,0
0.2,1000,1,17.65
0.2,1000,2,18.3
0.2,1000,3,20.7
