nb_plaques,distance_m,repetition,coups_par_seconde
0,0.02,1,9094.5
0,0.02,2,8939.15
0,0.02,3,8960.95
0,0.03,1,7817.7
0,0.03,2,7803.9
0,0.03,3,7741.4
0,0.05,1,4965.85
0,0.05,2,5065.7
0,0.05,3,5005.55
0,0.1,1,1793.45
0,0.1,2,1801.35
0,0.1,3,1819.6
0,0.15,1,785.35
0,0.15,2,799.65
0,0.15,3,780.5
0,0.2,1,410.6
0,0.2,2,432.1
0,0.2,3,420.9
0,0.25,1,224.4
0,0.25,2,249.7
0,0.25,3,230.35
1,0.02,1,125.45
1,0.02,2,129.65
1,0.02,3,118.9
1,0.03,1,90.05
1,0.03,2,88.25
1,0.03,3,83.4
1,0.05,1,54.25
1,0.05,2,64.2
1,0.05,3,59.65
1,0.1,1,37.1
1,0.1,2,34.15
1,0.1,3,36.3
1,0.15,1,25.5
1,0.15,2,23.85
1,0.15,3,26.45
1,0.2,1,17.4
1,0.2,2,19.15
1,0.2,3,18.45
1,0.25,1,14.8
1,0.25,2,14.45
1,0.25,3,13.05
3,0.02,1,61.8
3,0.02,2,63.75
3,0.02,3,65.35
3,0.03,1,44.9
3,0.03,2,44.1
3,0.03,3,45.3
3,0.05,1,31.2
3,0.05,2,31.45
3,0.05,3,29.8
3,0.1,1,11.8
3,0.1,2,16.7
3,0.1,3,10.15
3,0.15,1,14.1
3,0.15,2,9.05
3,0.15,3,7.25
3,0.2,1,0
3,0.2,2,0
3,0.2,3,0
3,0.25,1,0
3,0.25,2,0
3,0.25,3,0
