distance_m,tension_V,repetition,coups_par_seconde
0,350,1,36.1
0,350,2,35.3
0,350,3,38.75
0,400,1,44.2
0,400,2,45.3
0,400,3,47.45
0,450,1,54.8
0,450,2,48.85
0,450,3,50
0,500,1,57.85
0,500,2,57.15
0,500,3,58.35
0.01,350,1,17.5
0.01,350,2,17.6
0.01,350,3,17.45
0.01,400,1,20.9
0.01,400,2,23.25
0.01,400,3,19.45
0.01,450,1,26.95
0.01,450,2,24.85
0.01,450,3,27
0.01,500,1,28.55
0.01,500,2,27.95
0.01,500,3,26.35
0.02,350,1,11.65
0.02,350,2,9.4
0.02,350,3,7.9
0.02,400,1,12.1
0.02,400,2,13.85
0.02,400,3,14.15
0.02,450,1,13.9
0.02,450,2,16.1
0.02,450,3,17.25
0.02,500,1,16.3
0.02,500,2,19.4
0.02,500,3,17.15
0.03,350,1,7.15
0.03,350,2,6.05
0.03,350,3,8.7
0.03,400,1,10.05
0.03,400,2,9.45
0.03,400,3,9.05
0.03,450,1,8.75
0.03,450,2,9.85
0.03,450,3,9.95
0.03,500,1,11.3
0.03,500,2,11.75
0.03,500,3,12.1
0.05,350,1,3.65
0.05,350,2,4.2
0.05,350,3,3.8
0.05,400,1,4.9
0.05,400,2,4.6
0.05,400,3,3.8
0.05,450,1,5.2
0.05,450,2,5.75
0.05,450,3,4.6
0.05,500,1,7.35
0.05,500,2,6.65
0.05,500,3,5.45
0.1,350,1,1.2
0.1,350,2,1.2
0.1,350,3,1.3
0.1,400,1,1.1
0.1,400,2,1.25
0.1,400,3,1.4
0.1,450,1,1.85
0.1,450,2,2.1
0.1,450,3,1.8
0.1,500,1,2.05
0.1,500,2,2.25
0.1,500,3,1.6
0.15,350,1,0.8
0.15,350,2,0.65
0.15,350,3,1.1
0.15,400,1,1.25
0.15,400,2,1.35
0.15,400,3,0.95
0.15,450,1,1.4
0.15,450,2,0.85
0.15,450,3,1.1
0.15,500,1,1.1
0.15,500,2,1.05
0.15,500,3,1.35
