distance_m,tension_V,repetition,coups_par_seconde
0.0,800.0,1,261.5
0.0,800.0,2,254.35
0.0,800.0,3,263.45
0.0,850.0,1,285.35
0.0,850.0,2,280.75
0.0,850.0,3,281.25
0.0,900.0,1,323.95
0.0,900.0,2,324.5
0.0,900.0,3,348.6
0.0,920.0,1,377.05
0.0,920.0,2,367.55
0.0,920.0,3,376.2
0.0,940.0,1,431.2
0.0,940.0,2,454.6
0.0,940.0,3,425.4
0.0,960.0,1,547.4
0.0,960.0,2,535.05
0.0,960.0,3,541.25
0.0,980.0,1,790.5
0.0,980.0,2,758.7
0.0,980.0,3,777.5
0.0,1000.0,1,1013.85
0.0,1000.0,2,988.7
0.0,1000.0,3,1019.55
0.01,800.0,1,186.75
0.01,800.0,2,184.65
0.01,800.0,3,185.05
0.01,850.0,1,0.0
0.01,850.0,2,0.0
0.01,850.0,3,0.0
0.01,900.0,1,202.8
0.01,900.0,2,194.15
0.01,900.0,3,197.6
0.01,920.0,1,0.0
0.01,920.0,2,0.0
0.01,920.0,3,0.0
0.01,940.0,1,0.0
0.01,940.0,2,0.0
0.01,940.0,3,0.0
0.01,960.0,1,0.0
0.01,960.0,2,0.0
0.01,960.0,3,0.0
0.01,980.0,1,0.0
0.01,980.0,2,0.0
0.01,980.0,3,0.0
0.01,1000.0,1,866.15
0.01,1000.0,2,886.4
0.01,1000.0,3,883.2
0.02,800.0,1,106.45
0.02,800.0,2,113.5
0.02,800.0,3,114.8
0.02,850.0,1,0.0
0.02,850.0,2,0.0
0.02,850.0,3,0.0
0.02,900.0,1,115.35
0.02,900.0,2,119.75
0.02,900.0,3,111.75
0.02,920.0,1,0.0
0.02,920.0,2,0.0
0.02,920.0,3,0.0
0.02,940.0,1,0.0
0.02,940.0,2,0.0
0.02,940.0,3,0.0
0.02,960.0,1,0.0
0.02,960.0,2,0.0
0.02,960.0,3,0.0
0.02,980.0,1,0.0
0.02,980.0,2,0.0
0.02,980.0,3,0.0
0.02,1000.0,1,529.25
0.02,1000.0,2,494.15
0.02,1000.0,3,532.1
0.03,800.0,1,72.75
0.03,800.0,2,71.75
0.03,800.0,3,76.05
0.03,850.0,1,0.0
0.03,850.0,2,0.0
0.03,850.0,3,0.0
0.03,900.0,1,86.5
0.03,900.0,2,87.2
0.03,900.0,3,84.7
0.03,920.0,1,0.0
0.03,920.0,2,0.0
0.03,920.0,3,0.0
0.03,940.0,1,0.0
0.03,940.0,2,0.0
0.03,940.0,3,0.0
0.03,960.0,1,0.0
0.03,960.0,2,0.0
0.03,960.0,3,0.0
0.03,980.0,1,0.0
0.03,980.0,2,0.0
0.03,980.0,3,0.0
0.03,1000.0,1,360.35
0.03,1000.0,2,335.45
0.03,1000.0,3,351.25
0.05,800.0,1,36.8
0.05,800.0,2,34.1
0.05,800.0,3,39.15
0.05,850.0,1,0.0
0.05,850.0,2,0.0
0.05,850.0,3,0.0
0.05,900.0,1,49.6
0.05,900.0,2,46.2
0.05,900.0,3,47.9
0.05,920.0,1,0.0
0.05,920.0,2,0.0
0.05,920.0,3,0.0
0.05,940.0,1,0.0
0.05,940.0,2,0.0
0.05,940.0,3,0.0
0.05,960.0,1,0.0
0.05,960.0,2,0.0
0.05,960.0,3,0.0
0.05,980.0,1,0.0
0.05,980.0,2,0.0
0.05,980.0,3,0.0
0.05,1000.0,1,175.1
0.05,1000.0,2,183.4
0.05,1000.0,3,179.6
0.1,800.0,1,13.35
0.1,800.0,2,13.05
0.1,800.0,3,12.65
0.1,850.0,1,0.0
0.1,850.0,2,0.0
0.1,850.0,3,0.0
0.1,900.0,1,19.75
0.1,900.0,2,21.2
0.1,900.0,3,19.85
0.1,920.0,1,0.0
0.1,920.0,2,0.0
0.1,920.0,3,0.0
0.1,940.0,1,0.0
0.1,940.0,2,0.0
0.1,940.0,3,0.0
0.1,960.0,1,0.0
0.1,960.0,2,0.0
0.1,960.0,3,0.0
0.1,980.0,1,0.0
0.1,980.0,2,0.0
0.1,980.0,3,0.0
0.1,1000.0,1,63.3
0.1,1000.0,2,64.75
0.1,1000.0,3,56.95
0.15,800.0,1,5.7
0.15,800.0,2,4.35
0.15,800.0,3,7.0
0.15,850.0,1,0.0
0.15,850.0,2,0.0
0.15,850.0,3,0.0
0.15,900.0,1,8.9
0.15,900.0,2,9.6
0.15,900.0,3,8.6
0.15,920.0,1,0.0
0.15,920.0,2,0.0
0.15,920.0,3,0.0
0.15,940.0,1,0.0
0.15,940.0,2,0.0
0.15,940.0,3,0.0
0.15,960.0,1,0.0
0.15,960.0,2,0.0
0.15,960.0,3,0.0
0.15,980.0,1,0.0
0.15,980.0,2,0.0
0.15,980.0,3,0.0
0.15,1000.0,1,25.45
0.15,1000.0,2,29.15
0.15,1000.0,3,27.8
0.2,800.0,1,4.6
0.2,800.0,2,2.9
0.2,800.0,3,3.5
0.2,850.0,1,0.0
0.2,850.0,2,0.0
0.2,850.0,3,0.0
0.2,900.0,1,5.8
0.2,900.0,2,5.25
0.2,900.0,3,6.6
0.2,920.0,1,0.0
0.2,920.0,2,0.0
0.2,920.0,3,0.0
0.2,940.0,1,0.0
0.2,940.0,2,0.0
0.2,940.0,3,0.0
0.2,960.0,1,0.0
0.2,960.0,2,0.0
0.2,960.0,3,0.0
0.2,980.0,1,0.0
0.2,980.0,2,0.0
0.2,980.0,3,0.0
0.2,1000.0,1,17.65
0.2,1000.0,2,18.3
0.2,1000.0,3,20.7
