section,n_gauss,param,value
best_model,2,baseline,1.19201183039
best_model,2,baseline_error,0.145298985629
best_model,2,rss,4.22028974798
best_model,2,aic,-63.1701454758
best_model,2,bic,-52.0855129066
best_model,2,sigma_x,1
best_model,2,chi2,16562.4223589
best_model,2,dof,29
best_model,2,chi2_reduced,571.118012377
best_model,2,gauss_1_amplitude,5.13541395197
best_model,2,gauss_1_amplitude_error,0.195490427322
best_model,2,gauss_1_mu,15.1759060624
best_model,2,gauss_1_mu_error,0.170344777025
best_model,2,gauss_1_sigma,4.6547952633
best_model,2,gauss_1_sigma_error,0.244626464874
best_model,2,gauss_2_amplitude,0.664043375705
best_model,2,gauss_2_amplitude_error,0.360352482048
best_model,2,gauss_2_mu,30.4983411125
best_model,2,gauss_2_mu_error,0.619805972727
best_model,2,gauss_2_sigma,1.02892478845
best_model,2,gauss_2_sigma_error,0.684558253782

section,n_gauss,param,value
candidate_model,2,baseline,1.19201183039
candidate_model,2,baseline_error,0.145298985629
candidate_model,2,rss,4.22028974798
candidate_model,2,aic,-63.1701454758
candidate_model,2,bic,-52.0855129066
candidate_model,2,sigma_x,1
candidate_model,2,chi2,16562.4223589
candidate_model,2,dof,29
candidate_model,2,chi2_reduced,571.118012377
