Distance_(pixels),Gray_Value
0,1.0833
1,1.4792
2,1.6250
3,1.4792
4,1.4167
5,1.5833
6,1.8125
7,1.7292
8,1.9583
9,2.0833
10,2.5208
11,2.7708
12,3.1667
13,4.1042
14,4.4583
15,5.4583
16,7.1042
17,8.2708
18,10.1042
19,12.3125
20,12.7708
21,14.9375
22,15.9167
23,17.7500
24,18.3542
25,19.5833
26,17.2292
27,15.9375
28,12.2917
29,9.0625
30,7.1458
31,5.7500
32,5.2292
33,4.5417
34,4.1667
35,3.4375
36,3.2083
37,2.9792
38,2.8958
39,2.3958
40,1.9167
41,1.8958
42,1.9792
43,1.7708
44,1.5625
45,1.6042
46,1.8333
