Distance_(pixels),Gray_Value
0,1.6129
1,2.0323
2,2.5323
3,2.5000
4,2.7097
5,3.0323
6,2.8387
7,3.0484
8,3.2742
9,3.8065
10,3.8871
11,3.7581
12,3.8548
13,4.2903
14,4.4194
15,4.8065
16,5.3226
17,6.0806
18,6.7581
19,6.8387
20,7.7419
21,8.5968
22,9.0968
23,9.7258
24,10.9516
25,13.2742
26,14.4355
27,16.6290
28,19.5806
29,23.0323
30,28.4839
31,36.3226
32,45.8871
33,52.4355
34,58.3226
35,60.0645
36,62.7581
37,63.2258
38,62.9032
39,59.6613
40,56.3548
41,51.6613
42,45.1936
43,38.6452
44,30.7419
45,23.9677
46,20.4355
47,17.4516
48,15.7903
49,14.0645
50,12.1613
51,10.2581
52,8.7742
53,7.2903
54,6.6129
55,6.3387
56,6.0645
57,5.8548
58,5.4516
59,5.3065
60,5.3710
61,5.2903
62,4.7581
63,4.2903
64,3.8226
65,3.7419
66,3.2258
67,2.8387
68,2.2258
69,2.1774
70,2.4677
71,2.6290
72,2.7903
73,2.5161
74,2.2097
75,2.1935
76,2.1935
77,2.0161
